,clientnum,customer_status,age,gender,dependencies,education_level,marital_status,income_category,card_category,months_on_book,no_of_products,months_inactive_12_mon,contacts_count_12_mon,credit_limit,total_revolving_bal,total_trans_amt,total_trans_ct,avg_utilization_ratio,age_bracket,utilization_cat
189,821797008,Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue,45,2,2,3,1438.3,0,815,21,0.0,40s,Low
190,708874533,Attrited Customer,45,F,2,College,Married,Less than $40K,Blue,36,1,3,2,3387.0,0,510,24,0.0,40s,Low
194,712125258,Attrited Customer,46,M,4,High School,Married,$120K +,Blue,30,3,3,3,2442.0,0,701,19,0.0,40s,Low
200,772390908,Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue,48,2,4,3,3616.0,1054,687,17,0.291,50s,Low
205,778867533,Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue,40,1,4,1,1438.3,0,689,23,0.0,50s,Low
212,771809733,Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue,53,1,3,3,3353.0,0,960,18,0.0,60s,Low
218,719211558,Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue,36,1,1,2,3401.0,0,744,18,0.0,40s,Low
223,718621608,Attrited Customer,54,F,2,High School,Married,Unknown,Blue,44,3,3,1,6094.0,0,909,14,0.0,50s,Low
225,720272958,Attrited Customer,48,M,2,High School,Married,$120K +,Blue,36,3,3,3,27126.0,0,1000,25,0.0,40s,Low
227,709173108,Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue,40,6,2,2,2532.0,2221,799,21,0.877,50s,High
247,708330858,Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue,38,2,3,3,8249.0,1381,678,11,0.167,50s,Low
263,709278258,Attrited Customer,54,M,2,Unknown,Married,$40K - $60K,Blue,44,4,3,2,2902.0,2517,996,26,0.867,50s,High
268,714871683,Attrited Customer,58,M,1,Uneducated,Married,$40K - $60K,Blue,36,2,4,3,1438.3,537,715,13,0.373,50s,Medium
313,717354558,Attrited Customer,57,M,2,Uneducated,Married,$120K +,Blue,40,3,3,3,3106.0,1120,683,17,0.361,50s,Medium
315,714639783,Attrited Customer,42,M,3,College,Married,$60K - $80K,Blue,34,3,3,3,13450.0,0,1000,18,0.0,40s,Low
322,778868958,Attrited Customer,42,F,2,Graduate,Married,Less than $40K,Blue,23,3,3,3,1929.0,1673,857,36,0.867,40s,High
326,710940183,Attrited Customer,49,F,3,Graduate,Married,Less than $40K,Blue,38,6,3,2,2185.0,0,715,20,0.0,40s,Low
332,709547658,Attrited Customer,39,M,2,Uneducated,Single,$60K - $80K,Blue,36,5,3,3,13961.0,1299,783,20,0.093,30s,Low
334,712159083,Attrited Customer,58,F,4,Unknown,Married,Less than $40K,Blue,46,2,3,3,2536.0,0,901,35,0.0,50s,Low
347,711791583,Attrited Customer,52,F,1,Graduate,Single,Less than $40K,Blue,40,1,2,2,2317.0,0,884,19,0.0,50s,Low
348,712315683,Attrited Customer,53,F,2,Uneducated,Single,Less than $40K,Blue,45,1,1,1,1981.0,1518,973,25,0.766,50s,High
352,789842283,Attrited Customer,54,M,2,Graduate,Married,$60K - $80K,Blue,42,3,3,2,4320.0,0,706,21,0.0,50s,Low
355,719418933,Attrited Customer,53,M,2,Uneducated,Married,$80K - $120K,Blue,36,1,3,3,4503.0,0,748,20,0.0,50s,Low
363,781794708,Attrited Customer,35,M,3,Post-Graduate,Unknown,$80K - $120K,Blue,29,2,1,3,17030.0,1911,715,25,0.112,30s,Low
366,714272658,Attrited Customer,43,F,2,Uneducated,Single,Less than $40K,Blue,24,2,3,2,2962.0,2517,929,31,0.85,40s,High
371,767294658,Attrited Customer,56,M,2,College,Single,$120K +,Blue,50,2,2,3,16867.0,0,654,14,0.0,50s,Low
372,708241233,Attrited Customer,52,F,3,Post-Graduate,Single,Less than $40K,Blue,47,3,3,2,2972.0,0,922,25,0.0,50s,Low
397,716223708,Attrited Customer,45,F,3,Uneducated,Single,Unknown,Blue,36,3,3,3,4028.0,710,791,22,0.176,40s,Low
404,719443683,Attrited Customer,50,M,1,Unknown,Single,$120K +,Blue,39,3,2,3,27512.0,2137,1149,25,0.078,50s,Low
405,779610033,Attrited Customer,58,M,1,College,Married,$80K - $120K,Blue,47,3,3,3,12151.0,1799,918,14,0.148,50s,Low
415,709345008,Attrited Customer,53,F,2,Doctorate,Married,Unknown,Blue,39,1,2,3,1438.3,0,807,22,0.0,50s,Low
425,769137108,Attrited Customer,43,F,2,Post-Graduate,Married,Less than $40K,Blue,37,3,3,1,1438.3,0,974,28,0.0,40s,Low
426,717640083,Attrited Customer,59,M,1,High School,Married,$60K - $80K,Blue,36,3,2,3,6705.0,0,731,18,0.0,50s,Low
438,711242058,Attrited Customer,48,M,4,Unknown,Single,$80K - $120K,Blue,36,1,3,1,11862.0,2517,643,16,0.212,40s,Low
447,718121658,Attrited Customer,56,M,1,College,Married,$60K - $80K,Blue,44,5,3,3,1704.0,0,660,17,0.0,50s,Low
448,711593808,Attrited Customer,55,M,1,High School,Married,$60K - $80K,Blue,46,2,2,3,1438.3,0,888,18,0.0,50s,Low
450,718731183,Attrited Customer,61,M,1,Unknown,Married,$40K - $60K,Blue,49,1,2,2,5472.0,788,705,14,0.144,60s,Low
458,713865333,Attrited Customer,45,F,4,Uneducated,Married,Less than $40K,Blue,38,3,4,3,4908.0,0,827,21,0.0,40s,Low
459,797707008,Attrited Customer,44,F,3,Doctorate,Married,Less than $40K,Blue,38,6,1,3,7222.0,0,920,18,0.0,40s,Low
461,720370533,Attrited Customer,55,M,3,Uneducated,Married,$60K - $80K,Blue,44,3,2,2,2323.0,0,804,15,0.0,50s,Low
463,718675158,Attrited Customer,55,F,1,Unknown,Married,Less than $40K,Blue,36,4,1,3,1438.3,361,850,22,0.251,50s,Low
468,720605808,Attrited Customer,53,F,1,Graduate,Single,Less than $40K,Blue,36,2,2,3,1438.3,0,799,17,0.0,50s,Low
483,770724558,Attrited Customer,42,M,2,College,Married,$60K - $80K,Blue,28,6,1,3,7340.0,0,838,24,0.0,40s,Low
485,719309958,Attrited Customer,55,M,3,Doctorate,Single,$80K - $120K,Blue,35,4,1,3,20865.0,0,837,25,0.0,50s,Low
495,808897683,Attrited Customer,53,M,1,Graduate,Single,$80K - $120K,Blue,48,3,3,3,30271.0,1406,3231,47,0.046,50s,Low
503,718939083,Attrited Customer,54,F,2,Graduate,Married,Less than $40K,Blue,45,3,1,3,1438.3,306,694,15,0.213,50s,Low
507,712979133,Attrited Customer,55,M,4,High School,Married,$80K - $120K,Blue,41,2,2,2,27560.0,900,646,10,0.033,50s,Low
511,720071583,Attrited Customer,48,F,2,Unknown,Married,Less than $40K,Blue,36,5,1,3,7151.0,800,854,22,0.112,40s,Low
530,798792408,Attrited Customer,48,M,3,High School,Married,$80K - $120K,Blue,42,1,1,3,9959.0,0,805,24,0.0,40s,Low
542,711204483,Attrited Customer,56,M,4,High School,Married,$60K - $80K,Blue,46,3,3,3,2340.0,1930,781,15,0.825,50s,High
543,713945883,Attrited Customer,62,F,2,Graduate,Married,Less than $40K,Blue,52,4,2,2,2490.0,513,864,20,0.206,60s,Low
565,789513858,Attrited Customer,43,M,3,Unknown,Married,$40K - $60K,Blue,35,2,2,3,1438.3,0,891,28,0.0,40s,Low
574,771963708,Attrited Customer,56,M,3,Unknown,Married,$60K - $80K,Blue,45,5,3,2,12248.0,0,767,25,0.0,50s,Low
575,712433508,Attrited Customer,59,F,1,Unknown,Married,Unknown,Blue,50,3,2,3,1438.3,0,724,16,0.0,50s,Low
581,778506633,Attrited Customer,43,F,4,College,Married,Less than $40K,Blue,23,6,2,3,7706.0,392,965,27,0.051,40s,Low
596,713530833,Attrited Customer,58,M,2,Graduate,Married,$40K - $60K,Blue,48,2,3,3,4085.0,2238,596,15,0.548,50s,Medium
601,778699908,Attrited Customer,43,M,2,Uneducated,Married,$60K - $80K,Blue,24,2,3,3,14447.0,0,915,29,0.0,40s,Low
607,716991933,Attrited Customer,53,F,3,Uneducated,Single,Less than $40K,Blue,35,6,3,1,9786.0,0,820,25,0.0,50s,Low
622,712373208,Attrited Customer,43,M,3,Doctorate,Single,$60K - $80K,Blue,35,3,3,2,3312.0,0,647,19,0.0,40s,Low
641,708455883,Attrited Customer,57,M,1,Graduate,Single,$80K - $120K,Blue,36,2,3,2,10244.0,861,1127,29,0.084,50s,Low
644,763895958,Attrited Customer,53,M,2,High School,Married,$120K +,Blue,46,4,3,1,7474.0,0,732,21,0.0,50s,Low
647,711927108,Attrited Customer,54,M,3,High School,Married,$80K - $120K,Blue,36,2,3,4,9457.0,350,1196,28,0.037,50s,Low
663,711147483,Attrited Customer,46,F,3,Graduate,Single,Less than $40K,Blue,28,2,2,3,8551.0,1067,1097,32,0.125,40s,Low
675,720990183,Attrited Customer,54,M,5,High School,Married,$60K - $80K,Blue,36,5,2,3,14539.0,0,965,26,0.0,50s,Low
683,716608608,Attrited Customer,41,M,2,Uneducated,Married,$80K - $120K,Blue,33,5,3,3,8004.0,1452,1084,32,0.181,40s,Low
693,788673708,Attrited Customer,57,F,2,High School,Married,$40K - $60K,Blue,45,2,1,3,1438.3,0,1254,35,0.0,50s,Low
708,816600933,Attrited Customer,56,M,0,College,Married,$80K - $120K,Blue,51,3,2,3,14501.0,0,1031,25,0.0,50s,Low
709,714208533,Attrited Customer,43,M,3,High School,Married,$60K - $80K,Blue,36,1,3,3,8663.0,288,916,33,0.033,40s,Low
713,720426708,Attrited Customer,56,M,3,High School,Single,$60K - $80K,Blue,45,2,1,3,8512.0,0,811,27,0.0,50s,Low
728,708983658,Attrited Customer,51,M,2,Uneducated,Single,$120K +,Blue,39,3,3,1,16868.0,0,940,25,0.0,50s,Low
742,778663458,Attrited Customer,65,M,1,High School,Married,Less than $40K,Blue,47,3,2,1,1759.0,0,821,18,0.0,60s,Low
743,716024808,Attrited Customer,57,M,1,Graduate,Married,$80K - $120K,Blue,36,3,3,3,4829.0,2418,938,21,0.501,50s,Medium
754,721249158,Attrited Customer,42,M,2,Uneducated,Single,$60K - $80K,Blue,30,2,2,3,6414.0,0,708,14,0.0,40s,Low
785,713845083,Attrited Customer,41,F,4,High School,Single,Less than $40K,Blue,36,6,2,3,4203.0,2517,1489,43,0.599,40s,Medium
791,813499458,Attrited Customer,45,M,5,High School,Unknown,$60K - $80K,Blue,40,3,3,1,1438.3,0,2132,31,0.0,40s,Low
812,712240083,Attrited Customer,38,F,3,Unknown,Single,Less than $40K,Blue,30,6,2,2,3730.0,2517,858,22,0.675,30s,Medium
813,772532208,Attrited Customer,51,F,2,Doctorate,Married,Less than $40K,Blue,41,2,2,3,6630.0,916,842,24,0.138,50s,Low
814,778929783,Attrited Customer,40,M,3,Graduate,Divorced,$80K - $120K,Blue,22,2,2,3,1925.0,0,781,28,0.0,40s,Low
832,713053383,Attrited Customer,42,M,3,Graduate,Married,$80K - $120K,Blue,36,1,1,3,34516.0,781,853,12,0.023,40s,Low
843,803595858,Attrited Customer,56,F,3,High School,Married,$40K - $60K,Blue,51,5,2,1,1438.3,0,594,14,0.0,50s,Low
850,710754933,Attrited Customer,61,F,0,Graduate,Married,Less than $40K,Blue,49,6,2,3,1438.3,0,840,20,0.0,60s,Low
851,720007383,Attrited Customer,41,F,2,Unknown,Single,Unknown,Blue,28,2,1,3,4411.0,2517,803,15,0.571,40s,Medium
852,718362783,Attrited Customer,35,M,2,Graduate,Married,$80K - $120K,Blue,27,3,2,3,12643.0,0,787,21,0.0,30s,Low
854,708856983,Attrited Customer,36,M,3,Post-Graduate,Married,$120K +,Blue,27,2,1,2,13873.0,0,694,18,0.0,30s,Low
868,709961958,Attrited Customer,58,F,4,High School,Divorced,Unknown,Blue,45,4,1,1,21065.0,2517,1060,32,0.119,50s,Low
878,717412608,Attrited Customer,38,F,2,High School,Married,$40K - $60K,Blue,28,3,2,2,7225.0,0,738,16,0.0,30s,Low
891,712120608,Attrited Customer,35,M,3,College,Married,$80K - $120K,Blue,27,3,2,3,3575.0,1884,861,15,0.527,30s,Medium
917,710899833,Attrited Customer,36,M,2,Graduate,Married,$40K - $60K,Blue,18,3,1,3,7758.0,1408,569,23,0.181,30s,Low
933,739594758,Attrited Customer,51,F,2,Graduate,Single,Less than $40K,Blue,44,6,3,2,3181.0,2517,818,16,0.791,50s,High
937,714078558,Attrited Customer,62,F,1,High School,Married,$40K - $60K,Blue,53,2,1,1,5249.0,0,1315,31,0.0,60s,Low
954,779216358,Attrited Customer,48,M,2,College,Married,$80K - $120K,Blue,38,2,2,3,2111.0,0,773,17,0.0,40s,Low
961,712924383,Attrited Customer,55,M,3,Unknown,Single,$60K - $80K,Blue,36,3,2,2,8411.0,979,990,22,0.116,50s,Low
990,714983283,Attrited Customer,39,F,3,High School,Single,Less than $40K,Blue,36,6,1,3,3651.0,0,862,19,0.0,30s,Low
992,710406633,Attrited Customer,51,F,3,Uneducated,Married,Unknown,Blue,36,3,3,2,3664.0,0,1168,31,0.0,50s,Low
1033,709991883,Attrited Customer,53,M,1,Graduate,Married,$80K - $120K,Blue,42,2,1,2,6214.0,1147,938,35,0.185,50s,Low
1036,809951133,Attrited Customer,54,M,3,College,Single,$120K +,Blue,49,3,2,3,34516.0,0,2115,24,0.0,50s,Low
1042,720141408,Attrited Customer,49,F,2,Graduate,Single,Less than $40K,Blue,31,5,1,2,5456.0,951,1096,27,0.174,40s,Low
1050,768490458,Attrited Customer,49,M,2,Uneducated,Married,$80K - $120K,Blue,43,1,3,3,5701.0,2517,961,32,0.442,40s,Medium
1058,712196508,Attrited Customer,46,F,3,High School,Single,Unknown,Blue,34,4,3,3,29543.0,1164,1015,27,0.039,40s,Low
1072,711159108,Attrited Customer,58,F,0,High School,Married,Less than $40K,Blue,36,3,2,2,7418.0,396,911,26,0.053,50s,Low
1086,713206683,Attrited Customer,40,M,4,Graduate,Single,$80K - $120K,Silver,22,3,1,3,34516.0,0,1028,26,0.0,40s,Low
1101,778388358,Attrited Customer,56,M,3,Graduate,Single,$60K - $80K,Blue,36,2,2,3,4742.0,855,870,24,0.18,50s,Low
1114,779722308,Attrited Customer,45,F,3,High School,Married,$40K - $60K,Blue,30,5,2,2,12355.0,0,1044,28,0.0,40s,Low
1119,713823033,Attrited Customer,31,F,2,Unknown,Married,Unknown,Blue,20,3,1,2,8149.0,0,808,30,0.0,30s,Low
1120,787515333,Attrited Customer,40,M,3,Uneducated,Married,$80K - $120K,Blue,29,3,2,3,3616.0,1151,820,21,0.318,40s,Medium
1125,710819733,Attrited Customer,56,M,3,Graduate,Married,$120K +,Blue,36,5,1,1,12211.0,0,903,29,0.0,50s,Low
1177,818375733,Attrited Customer,51,F,2,College,Married,$40K - $60K,Blue,46,3,1,3,4882.0,695,1544,44,0.142,50s,Low
1191,709707033,Attrited Customer,45,M,3,Graduate,Single,$60K - $80K,Blue,32,2,3,2,13162.0,0,1424,38,0.0,40s,Low
1203,721178583,Attrited Customer,37,F,3,Graduate,Unknown,Unknown,Blue,22,2,3,2,5674.0,0,1096,29,0.0,30s,Low
1222,771544533,Attrited Customer,42,F,5,High School,Married,Unknown,Blue,30,3,1,4,3578.0,0,1015,36,0.0,40s,Low
1223,708927108,Attrited Customer,53,M,2,Graduate,Married,$120K +,Blue,36,1,3,2,12778.0,507,1133,28,0.04,50s,Low
1232,711772008,Attrited Customer,35,F,3,Graduate,Single,Less than $40K,Blue,22,1,2,1,1890.0,666,1483,36,0.352,30s,Medium
1233,708799983,Attrited Customer,40,M,1,Post-Graduate,Married,$60K - $80K,Blue,36,6,3,4,18386.0,890,1698,43,0.048,40s,Low
1307,718418958,Attrited Customer,30,M,1,Post-Graduate,Divorced,Less than $40K,Blue,36,6,2,4,5061.0,0,1309,38,0.0,30s,Low
1323,821179233,Attrited Customer,50,F,1,Post-Graduate,Single,$40K - $60K,Blue,46,1,3,3,1493.0,932,1554,43,0.624,50s,Medium
1329,813752433,Attrited Customer,43,F,3,Graduate,Single,Less than $40K,Blue,38,5,2,4,4075.0,1986,2449,27,0.487,40s,Medium
1335,708083283,Attrited Customer,58,M,0,Unknown,Single,$40K - $60K,Blue,45,3,1,3,3421.0,2517,992,21,0.736,50s,High
1346,806407308,Attrited Customer,54,F,3,College,Single,Unknown,Blue,49,6,2,3,13184.0,0,2047,33,0.0,50s,Low
1355,758583708,Attrited Customer,37,F,3,Graduate,Single,Less than $40K,Blue,24,2,1,4,2802.0,2460,1406,28,0.878,30s,High
1368,721003008,Attrited Customer,36,F,4,Graduate,Married,Less than $40K,Blue,24,3,2,2,3261.0,2517,856,18,0.772,30s,High
1386,720122808,Attrited Customer,52,M,2,High School,Married,$60K - $80K,Silver,35,4,4,3,33180.0,511,797,14,0.015,50s,Low
1399,716053083,Attrited Customer,33,M,2,Graduate,Married,$120K +,Blue,21,2,2,4,27992.0,0,837,18,0.0,30s,Low
1425,709537683,Attrited Customer,37,M,3,College,Married,$80K - $120K,Blue,30,3,4,3,11638.0,926,563,15,0.08,30s,Low
1438,790145733,Attrited Customer,40,M,3,College,Single,$80K - $120K,Silver,33,1,3,4,34516.0,0,1112,26,0.0,40s,Low
1466,719818983,Attrited Customer,39,M,1,College,Divorced,$80K - $120K,Blue,28,1,3,4,12464.0,0,1195,35,0.0,30s,Low
1474,804668658,Attrited Customer,26,F,0,Uneducated,Single,Less than $40K,Blue,20,3,2,4,1438.3,0,947,20,0.0,20s,Low
1530,771028533,Attrited Customer,48,F,3,Post-Graduate,Married,Less than $40K,Silver,35,5,1,3,10357.0,0,911,25,0.0,40s,Low
1537,819610908,Attrited Customer,38,M,2,Uneducated,Single,$80K - $120K,Blue,33,1,4,4,32938.0,2089,1137,26,0.063,30s,Low
1548,808273533,Attrited Customer,39,M,2,High School,Single,$60K - $80K,Blue,34,3,4,3,1818.0,0,2054,55,0.0,30s,Low
1566,785011383,Attrited Customer,36,F,0,Uneducated,Divorced,$40K - $60K,Blue,30,1,3,4,2190.0,0,1412,38,0.0,30s,Low
1570,716382708,Attrited Customer,46,F,2,Graduate,Single,Less than $40K,Blue,36,3,4,3,8309.0,858,1165,35,0.103,40s,Low
1573,711224733,Attrited Customer,32,M,0,High School,Married,$120K +,Blue,27,3,3,4,22382.0,0,695,10,0.0,30s,Low
1584,791856033,Attrited Customer,45,M,2,College,Divorced,$80K - $120K,Blue,39,3,4,4,34516.0,0,1041,27,0.0,40s,Low
1586,716448783,Attrited Customer,48,F,3,Graduate,Married,$40K - $60K,Blue,39,2,4,3,6235.0,0,1225,34,0.0,40s,Low
1605,708892833,Attrited Customer,37,M,2,Graduate,Married,$120K +,Blue,30,2,4,4,13662.0,0,725,22,0.0,30s,Low
1613,719318583,Attrited Customer,37,M,3,High School,Married,Less than $40K,Blue,26,3,3,4,6866.0,2389,862,13,0.348,30s,Medium
1643,720504633,Attrited Customer,46,M,2,Uneducated,Unknown,$60K - $80K,Blue,32,6,2,3,3254.0,0,967,24,0.0,40s,Low
1646,711357858,Attrited Customer,47,F,3,Graduate,Single,Less than $40K,Blue,36,5,3,4,7246.0,0,777,13,0.0,40s,Low
1661,711816108,Attrited Customer,40,M,3,High School,Single,$80K - $120K,Blue,29,2,2,4,18563.0,0,2395,45,0.0,40s,Low
1664,713663508,Attrited Customer,58,M,0,High School,Unknown,$40K - $60K,Blue,42,3,2,3,1438.3,0,1088,22,0.0,50s,Low
1693,718577958,Attrited Customer,39,M,2,Uneducated,Married,$120K +,Blue,26,2,3,4,8906.0,0,809,15,0.0,30s,Low
1707,717664008,Attrited Customer,37,M,3,College,Married,$60K - $80K,Blue,19,2,3,4,3100.0,2517,694,12,0.812,30s,High
1719,711562833,Attrited Customer,35,M,4,Graduate,Married,$80K - $120K,Blue,24,6,3,4,12634.0,0,717,18,0.0,30s,Low
1730,720181758,Attrited Customer,37,M,0,Doctorate,Married,$120K +,Blue,22,3,3,4,8654.0,0,850,18,0.0,30s,Low
1762,720427683,Attrited Customer,58,M,2,Uneducated,Single,$120K +,Blue,46,2,3,4,16163.0,0,2171,48,0.0,50s,Low
1779,711692508,Attrited Customer,54,F,2,Post-Graduate,Married,Less than $40K,Blue,47,3,4,3,1438.3,0,1154,22,0.0,50s,Low
1797,715651833,Attrited Customer,65,M,1,Unknown,Single,Less than $40K,Blue,36,3,4,4,2351.0,0,1593,35,0.0,60s,Low
1827,712551258,Attrited Customer,39,M,1,Uneducated,Married,Less than $40K,Blue,36,3,3,3,4247.0,0,847,17,0.0,30s,Low
1835,772292358,Attrited Customer,30,M,1,College,Divorced,Less than $40K,Blue,19,4,3,3,7970.0,0,1284,30,0.0,30s,Low
1848,713021208,Attrited Customer,55,F,2,College,Single,Unknown,Silver,36,2,3,3,34516.0,0,1353,40,0.0,50s,Low
1866,715366083,Attrited Customer,52,F,0,Doctorate,Single,Less than $40K,Blue,36,2,2,3,1438.3,978,947,33,0.68,50s,Medium
1871,716244033,Attrited Customer,44,M,3,Graduate,Married,$40K - $60K,Blue,33,2,3,3,7266.0,906,1741,27,0.125,40s,Low
1903,778381608,Attrited Customer,48,M,4,Doctorate,Single,$80K - $120K,Blue,28,3,3,4,6572.0,417,1766,46,0.063,40s,Low
1921,709164408,Attrited Customer,32,M,1,Uneducated,Married,Less than $40K,Blue,23,1,3,3,2218.0,1696,730,20,0.765,30s,High
1925,709785783,Attrited Customer,35,F,0,Graduate,Single,Less than $40K,Blue,25,5,3,4,2300.0,0,1485,34,0.0,30s,Low
1950,720185058,Attrited Customer,46,M,3,Graduate,Married,$60K - $80K,Blue,36,2,3,4,4267.0,0,1067,23,0.0,40s,Low
1954,717813558,Attrited Customer,57,F,3,High School,Single,Unknown,Blue,36,1,4,2,8389.0,1960,1334,38,0.234,50s,Low
2010,719470458,Attrited Customer,46,M,3,College,Single,$80K - $120K,Blue,39,1,4,3,4026.0,243,1102,27,0.06,40s,Low
2017,715319958,Attrited Customer,48,M,3,Uneducated,Married,$120K +,Blue,36,5,2,4,34516.0,787,1312,32,0.023,40s,Low
2020,721243083,Attrited Customer,55,M,3,Uneducated,Divorced,$80K - $120K,Blue,41,1,3,4,34516.0,2408,1187,40,0.07,50s,Low
2034,798022683,Attrited Customer,43,M,1,Graduate,Married,$80K - $120K,Blue,37,4,2,3,25517.0,321,2508,44,0.013,40s,Low
2086,716112933,Attrited Customer,39,F,3,Graduate,Married,Unknown,Blue,36,3,2,3,1575.0,592,644,15,0.376,30s,Medium
2117,719146008,Attrited Customer,48,M,3,Graduate,Married,$80K - $120K,Blue,39,4,4,3,18672.0,2517,1126,35,0.135,40s,Low
2128,720693033,Attrited Customer,33,M,1,Unknown,Married,$60K - $80K,Blue,36,1,3,4,8925.0,168,741,10,0.019,30s,Low
2130,712784058,Attrited Customer,45,F,2,High School,Divorced,Unknown,Blue,36,6,4,3,17156.0,2517,1142,33,0.147,40s,Low
2270,710524533,Attrited Customer,38,F,4,College,Married,$40K - $60K,Blue,36,4,4,4,4913.0,2517,899,28,0.512,30s,Medium
2319,714967233,Attrited Customer,52,M,2,Doctorate,Married,$120K +,Blue,34,3,2,3,11188.0,0,2109,47,0.0,50s,Low
2349,787460883,Attrited Customer,41,M,3,Uneducated,Married,$40K - $60K,Blue,28,3,3,4,11091.0,0,1234,34,0.0,40s,Low
2368,709206333,Attrited Customer,44,F,4,Graduate,Single,$40K - $60K,Blue,30,3,4,4,4333.0,0,1558,40,0.0,40s,Low
2370,821149008,Attrited Customer,52,M,2,Graduate,Single,$80K - $120K,Blue,48,6,2,4,34516.0,0,1661,40,0.0,50s,Low
2382,772273983,Attrited Customer,48,M,4,Uneducated,Single,$40K - $60K,Blue,37,1,3,4,5268.0,2191,2138,40,0.416,40s,Medium
2385,719902908,Attrited Customer,51,M,3,Unknown,Married,$80K - $120K,Blue,36,3,3,3,5130.0,0,1434,31,0.0,50s,Low
2399,709163358,Attrited Customer,41,M,5,Unknown,Single,$60K - $80K,Gold,32,2,3,4,34516.0,2517,1727,35,0.073,40s,Low
2422,708139833,Attrited Customer,40,M,3,Graduate,Unknown,$60K - $80K,Blue,30,4,2,3,6391.0,0,2323,44,0.0,40s,Low
2457,738627708,Attrited Customer,49,F,2,Unknown,Single,Unknown,Blue,41,5,3,4,5984.0,0,1838,42,0.0,40s,Low
2470,771833433,Attrited Customer,49,M,2,High School,Married,$80K - $120K,Blue,38,3,2,4,29893.0,0,2063,48,0.0,40s,Low
2477,828291858,Attrited Customer,38,M,3,College,Single,$60K - $80K,Blue,34,6,3,4,12050.0,1821,2381,40,0.151,30s,Low
2496,720725058,Attrited Customer,51,F,1,Graduate,Single,Less than $40K,Blue,37,1,3,4,7176.0,0,1375,33,0.0,50s,Low
2505,711935283,Attrited Customer,55,M,5,Post-Graduate,Single,$80K - $120K,Blue,47,3,1,4,1438.3,0,1427,36,0.0,50s,Low
2506,716950758,Attrited Customer,46,M,4,High School,Married,$60K - $80K,Blue,36,1,3,2,8017.0,0,1657,43,0.0,40s,Low
2539,721532583,Attrited Customer,45,M,4,Graduate,Married,$80K - $120K,Blue,36,5,3,4,12250.0,2165,1995,39,0.177,40s,Low
